n+m n_v111 n_v112 n_v121 n_v122 n_v211 n_v212 n_v221 n_v222
303  2.6667  3.1667  2.5000  2.5000  2.6667  3.1667  2.5000  2.8333
304  2.5000  3.1667  2.3333  2.8333  2.5000  2.5000  2.6667  2.3333
305  2.8333  3.0000  2.6667  2.6667  2.8333  2.5000  2.8333  2.5000
306  3.1667  2.5000  2.3333  2.3333  3.1667  2.1667  2.8333  2.6667
307  2.3333  2.8333  2.6667  2.5000  2.3333  2.8333  2.8333  2.5000
308  2.8333  3.0000  2.8333  2.6667  2.8333  2.6667  2.5000  2.5000
309  3.1667  2.6667  2.5000  2.5000  3.1667  2.6667  2.8333  2.6667
310  3.0000  3.0000  2.5000  2.5000  3.0000  2.6667  2.5000  2.6667
311  2.5000  3.5000  2.6667  2.3333  2.5000  2.6667  2.8333  2.6667
312  2.5000  2.6667  2.8333  2.0000  2.5000  2.6667  2.3333  2.6667
313  2.5000  3.0000  2.1667  2.3333  2.5000  2.6667  2.5000  2.5000
314  2.5000  2.8333  2.5000  2.3333  2.5000  2.6667  2.5000  2.3333
315  2.8333  2.3333  2.1667  2.3333  2.8333  2.6667  2.3333  2.3333
316  2.3333  2.8333  2.1667  2.5000  2.3333  2.6667  2.5000  2.5000
317  2.6667  2.8333  2.0000  1.8333  2.6667  2.5000  2.1667  2.6667
318  2.6667  2.6667  2.1667  2.1667  2.6667  3.0000  2.1667  2.1667
319  2.3333  2.5000  2.1667  2.5000  2.3333  2.3333  2.5000  2.1667
320  2.5000  2.8333  2.1667  2.0000  2.5000  2.5000  2.0000  2.0000
321  2.5000  2.5000  2.0000  2.5000  2.5000  2.0000  2.3333  2.1667
322  3.0000  2.6667  2.1667  2.0000  3.0000  2.6667  2.6667  2.0000
323  2.3333  2.6667  2.6667  2.5000  2.3333  2.6667  2.5000  2.5000
324  2.5000  2.3333  2.1667  2.0000  2.5000  2.5000  2.3333  2.0000
325  2.5000  2.3333  2.6667  2.0000  2.5000  2.0000  2.0000  2.1667
326  2.4000  2.4000  2.4000  2.2000  2.4000  2.6000  2.6000  2.4000
327  2.4000  2.8000  2.6000  2.6000  2.4000  3.2000  2.4000  3.0000
328  3.4000  2.4000  2.8000  2.2000  3.4000  2.8000  2.4000  2.4000
329  2.2000  2.4000  3.0000  2.8000  2.2000  2.4000  2.2000  2.2000
330  2.2000  2.6000  2.2000  2.6000  2.2000  2.6000  2.4000  2.2000
331  2.6000  2.6000  2.8000  2.4000  2.6000  2.8000  2.2000  2.6000
332  3.2000  2.6000  2.6000  2.8000  3.2000  2.8000  2.6000  2.6000
